day;time;thermal_zone2;thermal_zone0;thermal_zone7;thermal_zone5;thermal_zone3;thermal_zone1;thermal_zone8;thermal_zone6;thermal_zone4
2024-03-13;21:30:47;20.0;41.0;45.0;42.0;41.05;41.0;47.0;46.0;0.05
2024-03-13;21:31:47;20.0;44.0;51.0;44.0;44.05;44.0;62.0;63.0;0.05
2024-03-13;21:32:47;20.0;43.0;48.0;44.0;43.05;43.0;45.0;45.0;0.05
2024-03-13;21:33:47;20.0;43.0;47.0;42.0;43.05;43.0;44.0;44.0;0.05
2024-03-13;21:37:15;20.0;42.0;46.0;42.0;42.05;42.0;49.0;49.0;0.05
2024-03-13;21:38:15;20.0;42.0;46.0;43.0;42.05;42.0;45.0;44.0;0.05
2024-03-14;09:48:15;20.0;40.0;44.0;42.0;40.05;40.0;54.0;54.0;0.05
2024-03-14;09:49:15;20.0;41.0;45.0;42.0;41.05;41.0;43.0;42.0;0.05
2024-03-14;09:50:15;20.0;40.0;47.0;41.0;40.05;40.0;46.0;46.0;0.05
2024-03-14;09:51:15;20.0;42.0;46.0;42.0;42.05;42.0;45.0;43.0;0.05
2024-03-19;14:17:40;20.0;39.0;41.0;40.0;39.05;39.0;45.0;45.0;0.05
2024-03-19;14:18:40;20.0;39.0;42.0;40.0;39.05;39.0;41.0;41.0;0.05
2024-03-19;14:24:56;20.0;39.0;41.0;40.0;39.05;39.0;46.0;46.0;0.05
2024-03-19;14:25:56;20.0;40.0;46.0;41.0;40.05;40.0;44.0;43.0;0.05
2024-03-19;14:26:56;20.0;42.0;48.0;42.0;42.05;42.0;76.0;76.0;0.05
2024-03-19;14:27:56;20.0;40.0;43.0;40.0;40.05;40.0;42.0;42.0;0.05
2024-03-19;14:28:56;20.0;39.0;42.0;40.0;39.05;39.0;44.0;44.0;0.05
2024-03-19;14:29:56;20.0;40.0;42.0;42.0;40.05;40.0;60.0;60.0;0.05
2024-03-19;14:30:56;20.0;40.0;44.0;41.0;40.05;40.0;42.0;42.0;0.05
2024-03-19;14:32:50;20.0;41.0;43.0;41.0;41.05;41.0;44.0;44.0;0.05
2024-03-19;14:33:50;20.0;41.0;44.0;41.0;41.05;41.0;43.0;43.0;0.05
2024-03-19;14:44:20;20.0;39.0;43.0;40.0;39.05;39.0;45.0;45.0;0.05
2024-03-19;14:45:20;20.0;40.0;45.0;40.0;40.05;40.0;42.0;42.0;0.05
